
---[Section 010] (Source: 909117-010_sayaka.json) ---
旁白: ガラガラ…
まどか＆さやかの声: 恭介、具合は…
恭介: さやか…
まどか＆さやかの声: ん？どうしたの
恭介: 昨日は…ごめん！\n本当に、ごめん！
まどか＆さやかの声: えっ、ちょっとちょっと！\nどうしちゃったの？
恭介: 僕は昨日…とても恥ずかしい\nことをしてしまった
恭介: ケガが想像以上にひどいからって\nさやかに当たり散らしたりして…
恭介: そんなことしたって何にも\nなりやしないのに…
恭介: さやかはずっと\n僕を心配してくれていて…
恭介: 今日だって、あんなにひどい\n言葉をぶつけた、僕を…
まどか＆さやかの声: え…なにか言ったっけ？
まどか＆さやかの声: あはは、あたし正直、あんまり\n覚えてないんだけどさ
まどか＆さやかの声: そうやって自分を見つめて\n悪いところを直していける…
まどか＆さやかの声: 弱いところから逃げずに\n真っ直ぐ立ち向かっていける
まどか＆さやかの声: 恭介は、恭介だよ
恭介: さやか…
まどか＆さやかの声: 奇跡とか、魔法とか…\nそりゃ、あったら楽だけど
まどか＆さやかの声: でも、そんなものがなくても\nちゃんと自分の足で立てる
まどか＆さやかの声: それが、上条恭介でしょ？\nちがう？
恭介: …僕に、できるかな
まどか＆さやかの声: んー、そうだな
まどか＆さやかの声: じゃあ、あたしが隣いて\n支えてあげよー！
まどか＆さやかの声: …なんちゃって
恭介: ありがとう、さやか
恭介: これからも、よろしくね
まどか＆さやかの声: …うん
